#Freq, SmbR,  H0/V1, FEC, DISECQ (-1=Auto)
#
## -- Astra 19.2E on DiseqC Auto (AB-A+B)
10743, 22000, 0, 4, -1
10773, 22000, 0, 4, -1
10788, 22000, 1, 4, -1
10817, 22000, 1, 4, -1
10832, 22000, 0, 4, -1
10847, 22000, 1, 4, -1
10861, 22000, 0, 4, -1
10876, 22000, 1, 4, -1
10920, 22000, 0, 4, -1
10979, 22000, 1, 4, -1
11038, 22000, 1, 4, -1
11097, 22000, 1, 4, -1
11156, 22000, 1, 4, -1
11317, 22000, 1, 4, -1
11361, 22000, 0, 4, -1
11435, 22000, 1, 4, -1
11479, 22000, 1, 4, -1
11508, 22000, 1, 4, -1
11538, 22000, 1, 4, -1
11567, 22000, 1, 4, -1
11597, 22000, 1, 4, -1
11670, 22000, 0, 4, -1
11685, 22000, 1, 4, -1
11719, 27500, 0, 3, -1
11739, 27500, 1, 3, -1
11758, 27500, 0, 3, -1
11778, 27500, 1, 3, -1
11794, 27500, 0, 3, -1
11817, 27500, 1, 3, -1
11836, 27500, 0, 3, -1
